id,title,priority,owner,reviewer,initial_status,depends_on,issues,capabilities,write_scopes,required_acceptance,task_ref
SR-NOTIFY-001,共用真實郵件傳輸與耐久送達紀錄,P1,Codex,Codex2,backlog,,N06;N07,C006;C026;C061;C079,apps/api/src/modules/notification-delivery/;tests/unit/system-remediation/sr-notify-001/;docs/04-uat/system-remediation-20260906/SR-NOTIFY-001.md,,docs/03-runbooks/system-remediation-20260906/SR-NOTIFY-001.md
SR-ARTIFACT-001,共用文件儲存與受控下載真正回傳 bytes,P1,Claude,Claude2,backlog,,N04;N08,C058;C078;C079;C097;C125,apps/api/src/common/document-artifacts/;apps/api/src/modules/controlled-download/;tests/unit/system-remediation/sr-artifact-001/;docs/04-uat/system-remediation-20260906/SR-ARTIFACT-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ARTIFACT-001.md
SR-REFERRAL-001,修復轉介 handoff 與可用 fallback,P0,Gemini,Gemini2,backlog,,R07,C020;C021,apps/referral-embed-web/;apps/api/src/modules/tenant-partner/tenant-partner.controller.ts;apps/api/src/modules/tenant-partner/tenant-partner.service.ts;tests/unit/system-remediation/sr-referral-001/;docs/04-uat/system-remediation-20260906/SR-REFERRAL-001.md,,docs/03-runbooks/system-remediation-20260906/SR-REFERRAL-001.md
SR-MAIL-001,租戶邀請信真正交付並修正 delivered 語義,P1,Codex2,Codex,backlog,SR-NOTIFY-001;SR-REFERRAL-001,N06,C006,apps/api/src/modules/tenant-partner/tenant-invitation-delivery.service.ts;apps/api/src/modules/tenant-partner/tenant-partner.service.ts;apps/api/src/modules/tenant-partner/tenant-partner.module.ts;tests/unit/system-remediation/sr-mail-001/;docs/04-uat/system-remediation-20260906/SR-MAIL-001.md,,docs/03-runbooks/system-remediation-20260906/SR-MAIL-001.md
SR-MAIL-002,簽核通知與接近逾時提醒真正寄送,P1,Claude2,Claude,backlog,SR-NOTIFY-001,N07,C026;C061;C079,apps/api/src/modules/audit-notification/audit-notification.email-adapter.ts;apps/api/src/modules/audit-notification/audit-notification.service.ts;apps/api/src/modules/audit-notification/audit-notification.module.ts;tests/unit/system-remediation/sr-mail-002/;docs/04-uat/system-remediation-20260906/SR-MAIL-002.md,,docs/03-runbooks/system-remediation-20260906/SR-MAIL-002.md
SR-INVOICE-001,租戶帳單實體 PDF 與有效下載,P1,Gemini2,Gemini,backlog,SR-ARTIFACT-001,N04,C058;C078;C079;C125,apps/api/src/modules/billing-settlement/billing-settlement.service.ts;apps/api/src/modules/billing-settlement/billing-settlement.module.ts;apps/tenant-console-web/app/invoices/;tests/unit/system-remediation/sr-invoice-001/;docs/04-uat/system-remediation-20260906/SR-INVOICE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-INVOICE-001.md
SR-ADMIN-ADAPTER-001,平台轉接器登錄 API 接線及到期真值,P1,Codex,Codex2,backlog,,N11;N12,C104;C105,apps/platform-admin-web/app/adapter-registry/;apps/api/src/modules/platform-admin/platform-admin.controller.ts;apps/api/src/modules/platform-admin/platform-admin.service.ts;tests/unit/system-remediation/sr-admin-adapter-001/;docs/04-uat/system-remediation-20260906/SR-ADMIN-ADAPTER-001.md,,docs/03-runbooks/system-remediation-20260906/SR-ADMIN-ADAPTER-001.md
SR-PLACARD-001,牌貼產生可列印檔與下載路由,P1,Claude,Claude2,backlog,SR-ARTIFACT-001;SR-ADMIN-ADAPTER-001,N08,C097;C125,apps/api/src/modules/platform-admin/platform-admin.service.ts;apps/platform-admin-web/app/switchboard/;tests/unit/system-remediation/sr-placard-001/;docs/04-uat/system-remediation-20260906/SR-PLACARD-001.md,,docs/03-runbooks/system-remediation-20260906/SR-PLACARD-001.md
SR-REPORT-001,一般報表 PDF／XLSX 與可用格式宣告,P1,Gemini,Gemini2,backlog,SR-ARTIFACT-001;SR-DEPS-001,N05,C091,apps/api/src/modules/reporting-filing/;apps/ops-console-web/app/reports/;tests/unit/system-remediation/sr-report-001/;docs/04-uat/system-remediation-20260906/SR-REPORT-001.md,,docs/03-runbooks/system-remediation-20260906/SR-REPORT-001.md
SR-PROOF-001,匯款證明上傳、歸屬查驗與付款 gate,P1,Codex2,Codex,backlog,SR-ARTIFACT-001;SR-INVOICE-001,N09,C081;C125,apps/api/src/modules/billing-settlement/billing-settlement.service.ts;apps/api/src/modules/billing-settlement/billing-settlement.controller.ts;apps/platform-admin-web/app/payments/reimbursements/;tests/unit/system-remediation/sr-proof-001/;docs/04-uat/system-remediation-20260906/SR-PROOF-001.md,,docs/03-runbooks/system-remediation-20260906/SR-PROOF-001.md
